TARGET_B,ZIPGROUP,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner dummy,NUMCHLD,INCOME,gender dummy,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT,LN_HV,LN_Icmed,LN_Icavg,LN_IC15,LN_NUMPROM,LN_RAMNTALL,LN_MAXRAMNT,LN_LASTGIFT,LN_totalmonths,LN_TIMELAG,_LN_AVGGIFT
0,4,0,0,1,0,1,1,4,1,5,629,434,472,6,59,84,5,3,30,12,3.652173913,6.444131257,6.073044534,6.156978986,1.791759469,4.077537444,4.430816799,1.609437912,1.098612289,3.401197382,2.48490665,1.295322583
1,4,0,0,1,0,1,1,3,1,5,779,434,500,3,98,126,7,7,33,1,4.344827586,6.658011046,6.073044534,6.214608098,1.098612289,4.584967479,4.836281907,1.945910149,1.945910149,3.496507561,0,1.468986077
1,5,0,0,0,1,1,1,4,0,6,807,354,393,13,60,100,10,10,30,10,9.090909091,6.693323668,5.869296913,5.973809612,2.564949357,4.094344562,4.605170186,2.302585093,2.302585093,3.401197382,2.302585093,2.207274913
1,2,1,0,0,0,1,1,2,0,7,789,295,398,18,48,127,60,42,37,6,31.75,6.670766321,5.686975356,5.986452005,2.890371758,3.871201011,4.844187086,4.094344562,3.737669618,3.610917913,1.791759469,3.457892725
1,5,0,0,0,1,0,1,6,1,7,995,372,407,10,83,476,25,10,28,6,13.6,6.902742737,5.918893854,6.008813185,2.302585093,4.418840608,6.165417854,3.218875825,2.302585093,3.33220451,1.791759469,2.610069793
1,4,0,0,1,0,1,1,7,0,7,936,521,590,11,69,98,6,5,31,2,3.62962963,6.841615476,6.255750042,6.380122537,2.397895273,4.234106505,4.584967479,1.791759469,1.609437912,3.433987204,0.693147181,1.289130613
0,5,0,0,0,1,1,1,4,1,8,3510,622,633,4,22,25,15,15,34,3,12.5,8.163371316,6.432940093,6.450470422,1.386294361,3.091042453,3.218875825,2.708050201,2.708050201,3.526360525,1.098612289,2.525728644
0,4,0,0,1,0,0,1,5,1,8,735,446,455,7,58,79,9,9,30,6,6.076923077,6.599870499,6.100318952,6.120297419,1.945910149,4.060443011,4.369447852,2.197224577,2.197224577,3.401197382,1.791759469,1.804498495
1,5,0,0,0,1,1,1,7,0,6,1888,382,435,17,98,350,23,13,17,35,17.5,7.543273347,5.945420609,6.075346031,2.833213344,4.584967479,5.857933154,3.135494216,2.564949357,2.833213344,3.555348061,2.862200881
0,3,0,1,0,0,0,1,2,0,2,418,300,348,12,92,186,15,14,37,5,8.454545455,6.035481433,5.703782475,5.85220248,2.48490665,4.521788577,5.225746674,2.708050201,2.63905733,3.610917913,1.609437912,2.13470422
0,5,0,0,0,1,1,1,6,0,8,5505,1255,1142,0,24,39,16,13,34,6,13,8.613412049,7.134890852,7.04053639,,3.17805383,3.663561646,2.772588722,2.564949357,3.526360525,1.791759469,2.564949357
0,5,0,0,0,1,1,1,4,1,8,819,415,428,5,26,28,10,10,29,4,5.6,6.708084084,6.02827852,6.059123196,1.609437912,3.258096538,3.33220451,2.302585093,2.302585093,3.36729583,1.386294361,1.722766598
1,3,0,1,0,0,1,1,3,1,8,296,280,315,17,64,52,5,2,20,7,2.260869565,5.690359454,5.634789603,5.752572639,2.833213344,4.158883083,3.951243719,1.609437912,0.693147181,2.995732274,1.945910149,0.815749503
1,2,1,0,0,0,0,1,5,0,8,675,374,402,7,24,26,16,16,37,9,13,6.514712691,5.924255797,5.996452089,1.945910149,3.17805383,3.258096538,2.772588722,2.772588722,3.610917913,2.197224577,2.564949357
0,3,0,1,0,0,1,1,4,0,8,568,184,216,40,21,32,12,12,31,3,10.66666667,6.342121419,5.214935758,5.375278408,3.688879454,3.044522438,3.465735903,2.48490665,2.48490665,3.433987204,1.098612289,2.367123614
1,3,0,1,0,0,1,1,4,0,0,314,165,207,48,76,204,25,25,37,4,12,5.749392986,5.105945474,5.332718793,3.871201011,4.33073334,5.318119994,3.218875825,3.218875825,3.610917913,1.386294361,2.48490665
1,5,0,0,0,1,0,1,3,0,8,470,300,324,18,29,74,20,20,31,5,14.8,6.152732695,5.703782475,5.780743516,2.890371758,3.36729583,4.304065093,2.995732274,2.995732274,3.433987204,1.609437912,2.694627181
0,5,0,0,0,1,0,1,1,1,8,1000,468,506,6,28,39,10,5,29,3,6.5,6.907755279,6.148468296,6.226536669,1.791759469,3.33220451,3.663561646,2.302585093,1.609437912,3.36729583,1.098612289,1.871802177
1,5,0,0,0,1,1,1,6,0,8,4138,787,835,1,37,82,13,13,29,6,11.71428571,8.327967858,6.668228248,6.727431725,0,3.610917913,4.406719247,2.564949357,2.564949357,3.36729583,1.791759469,2.460809098
0,5,0,0,0,1,1,1,4,1,3,1229,359,490,10,39,35,15,15,34,13,11.66666667,7.11395611,5.883322388,6.194405391,2.302585093,3.663561646,3.555348061,2.708050201,2.708050201,3.526360525,2.564949357,2.456735773
0,4,0,0,1,0,0,1,5,1,9,4135,805,880,9,65,82,15,15,37,12,8.2,8.327242607,6.690842277,6.779921907,2.197224577,4.17438727,4.406719247,2.708050201,2.708050201,3.610917913,2.48490665,2.104134154
1,5,0,0,0,1,1,1,4,1,7,1060,344,390,15,82,191,15,15,32,6,9.55,6.966024187,5.840641657,5.966146739,2.708050201,4.406719247,5.252273428,2.708050201,2.708050201,3.465735903,1.791759469,2.256541154
1,5,0,0,0,1,1,1,4,1,1,634,344,362,13,58,88,15,15,31,12,8,6.452048954,5.840641657,5.891644212,2.564949357,4.060443011,4.477336814,2.708050201,2.708050201,3.433987204,2.48490665,2.079441542
1,3,0,1,0,0,1,1,6,1,8,567,379,421,8,21,38,12,6,28,3,7.6,6.340359304,5.937536205,6.042632834,2.079441542,3.044522438,3.63758616,2.48490665,1.791759469,3.33220451,1.098612289,2.028148247
1,5,0,0,0,1,0,1,2,1,4,761,485,511,2,51,93,12,11,32,1,9.3,6.634633358,6.184148891,6.23636959,0.693147181,3.931825633,4.532599493,2.48490665,2.397895273,3.465735903,0,2.2300144
0,5,0,0,0,1,1,1,2,1,8,1772,592,688,0,15,15,15,15,37,5,15,7.479864131,6.383506635,6.533788838,,2.708050201,2.708050201,2.708050201,2.708050201,3.610917913,1.609437912,2.708050201
0,3,0,1,0,0,0,1,5,0,8,436,194,245,33,30,67,15,15,33,7,13.4,6.077642243,5.267858159,5.501258211,3.496507561,3.401197382,4.204692619,2.708050201,2.708050201,3.496507561,1.945910149,2.595254707
0,5,0,0,0,1,1,1,6,0,9,1591,675,693,6,68,115,15,10,19,9,11.5,7.372118028,6.514712691,6.541029999,1.791759469,4.219507705,4.744932128,2.708050201,2.302585093,2.944438979,2.197224577,2.442347035
0,5,0,0,0,1,1,1,4,1,1,1366,250,276,32,55,91,10,5,28,4,6.5,7.21964204,5.521460918,5.620400866,3.465735903,4.007333185,4.510859507,2.302585093,1.609437912,3.33220451,1.386294361,1.871802177
1,5,0,0,0,1,1,1,6,1,8,5790,1124,1045,3,20,22,10,7,31,2,7.333333333,8.663887571,7.02464903,6.951772164,1.098612289,2.995732274,3.091042453,2.302585093,1.945910149,3.433987204,0.693147181,1.992430165
1,4,0,0,1,0,1,1,6,1,8,1165,563,607,2,69,187,25,25,28,6,14.38461539,7.060476366,6.333279628,6.408528791,0.693147181,4.234106505,5.231108617,3.218875825,3.218875825,3.33220451,1.791759469,2.666159259
1,4,0,0,1,0,1,1,5,1,8,1732,603,653,0,13,20,20,20,36,5,20,7.457032089,6.401917197,6.481577129,,2.564949357,2.995732274,2.995732274,2.995732274,3.583518938,1.609437912,2.995732274
0,4,0,0,1,0,1,1,4,0,8,1019,389,473,15,21,26,16,16,37,5,13,6.926577033,5.963579344,6.159095388,2.708050201,3.044522438,3.258096538,2.772588722,2.772588722,3.610917913,1.609437912,2.564949357
1,2,1,0,0,0,1,1,4,0,8,597,459,475,4,23,27,10,10,31,5,6.75,6.391917113,6.12905021,6.163314804,1.386294361,3.135494216,3.295836866,2.302585093,2.302585093,3.433987204,1.609437912,1.909542505
1,3,0,1,0,0,1,1,2,0,4,702,324,357,11,52,70,10,10,33,3,6.363636364,6.553933404,5.780743516,5.877735782,2.397895273,3.951243719,4.248495242,2.302585093,2.302585093,3.496507561,1.098612289,1.850599969
0,3,0,1,0,0,1,1,1,0,4,578,376,399,13,86,121,5,3,30,9,3.457142857,6.359573869,5.929589143,5.988961417,2.564949357,4.454347296,4.795790546,1.609437912,1.098612289,3.401197382,2.197224577,1.240442484
1,3,0,1,0,0,1,1,2,1,7,992,524,563,6,63,100,20,3,21,6,7.692307692,6.899723107,6.261491684,6.333279628,1.791759469,4.143134726,4.605170186,2.995732274,1.098612289,3.044522438,1.791759469,2.040220829
1,5,0,0,0,1,1,1,4,0,6,643,363,423,12,56,68,7,4,28,4,4.533333333,6.466144724,5.894402834,6.047372179,2.48490665,4.025351691,4.219507705,1.945910149,1.386294361,3.33220451,1.386294361,1.511457504
1,4,0,0,1,0,1,1,4,1,2,359,221,237,27,61,128,20,15,36,17,14.22222222,5.883322388,5.398162702,5.468060141,3.295836866,4.110873864,4.852030264,2.995732274,2.708050201,3.583518938,2.833213344,2.654805687
1,5,0,0,0,1,1,1,6,0,8,3408,581,632,3,21,25,20,20,33,3,12.5,8.133880888,6.364750757,6.448889394,1.098612289,3.044522438,3.218875825,2.995732274,2.995732274,3.496507561,1.098612289,2.525728644
0,2,1,0,0,0,1,1,4,1,8,834,371,408,10,35,92,37,37,37,5,23,6.726233402,5.916202063,6.011267174,2.302585093,3.555348061,4.521788577,3.610917913,3.610917913,3.610917913,1.609437912,3.135494216
1,4,0,0,1,0,1,1,4,0,5,437,354,356,16,83,194,10,6,28,4,4.217391304,6.079933195,5.869296913,5.874930731,2.772588722,4.418840608,5.267858159,2.302585093,1.791759469,3.33220451,1.386294361,1.439216763
0,5,0,0,0,1,0,1,2,1,8,1505,359,445,12,47,77,11,8,28,11,7.7,7.316548177,5.883322388,6.098074282,2.48490665,3.850147602,4.343805422,2.397895273,2.079441542,3.33220451,2.397895273,2.041220329
1,5,0,0,0,1,1,1,4,1,8,1531,305,351,17,19,30,30,30,37,5,30,7.333676396,5.720311777,5.860786223,2.833213344,2.944438979,3.401197382,3.401197382,3.401197382,3.610917913,1.609437912,3.401197382
0,3,0,1,0,0,1,1,2,1,1,639,209,259,36,72,146,12,11,36,5,7.3,6.459904454,5.342334252,5.556828062,3.583518938,4.276666119,4.983606622,2.48490665,2.397895273,3.583518938,1.609437912,1.987874348
0,4,0,0,1,0,0,1,6,1,8,1305,530,597,5,16,28,25,25,30,15,14,7.17395832,6.272877007,6.391917113,1.609437912,2.772588722,3.33220451,3.218875825,3.218875825,3.401197382,2.708050201,2.63905733
1,2,1,0,0,0,1,1,3,0,8,457,253,285,25,68,98,5,3,32,9,4.9,6.124683391,5.533389489,5.65248918,3.218875825,4.219507705,4.584967479,1.609437912,1.098612289,3.465735903,2.197224577,1.589235205
0,3,0,1,0,0,0,1,4,0,3,349,302,324,19,55,66,7,5,30,9,4.714285714,5.855071922,5.710427017,5.780743516,2.944438979,4.007333185,4.189654742,1.945910149,1.609437912,3.401197382,2.197224577,1.550597412
1,2,1,0,0,0,1,1,4,1,3,525,277,278,24,52,157,10,7,28,6,7.136363636,6.263398263,5.624017506,5.627621114,3.17805383,3.951243719,5.056245805,2.302585093,1.945910149,3.33220451,1.791759469,1.965203352
0,2,1,0,0,0,0,1,5,1,1,550,296,304,20,101,154,20,20,23,3,14,6.309918278,5.690359454,5.717027701,2.995732274,4.615120517,5.036952602,2.995732274,2.995732274,3.135494216,1.098612289,2.63905733
1,4,0,0,1,0,0,1,3,1,5,422,290,319,18,66,132,16,10,31,5,9.428571429,6.045005314,5.669880923,5.765191103,2.890371758,4.189654742,4.882801923,2.772588722,2.302585093,3.433987204,1.609437912,2.243744593
0,5,0,0,0,1,1,1,6,1,8,4218,711,762,0,54,43,5,3,29,6,3.307692308,8.347116361,6.56667243,6.635946556,,3.988984047,3.761200116,1.609437912,1.098612289,3.36729583,1.791759469,1.196250758
0,4,0,0,1,0,0,1,4,1,8,567,279,327,20,24,48,16,16,35,2,12,6.340359304,5.631211782,5.789960171,2.995732274,3.17805383,3.871201011,2.772588722,2.772588722,3.555348061,0.693147181,2.48490665
0,2,1,0,0,0,1,1,7,0,8,1586,762,823,0,21,26,16,16,37,5,13,7.368970402,6.635946556,6.712956201,,3.044522438,3.258096538,2.772588722,2.772588722,3.610917913,1.609437912,2.564949357
0,3,0,1,0,0,0,1,1,0,8,745,438,446,5,54,63,12,12,26,2,9,6.613384218,6.08221891,6.100318952,1.609437912,3.988984047,4.143134726,2.48490665,2.48490665,3.258096538,0.693147181,2.197224577
1,5,0,0,0,1,1,1,6,1,8,578,258,315,28,22,40,20,20,37,7,20,6.359573869,5.552959585,5.752572639,3.33220451,3.091042453,3.688879454,2.995732274,2.995732274,3.610917913,1.945910149,2.995732274
0,5,0,0,0,1,0,1,5,0,8,3361,719,760,2,17,25,25,25,37,5,25,8.119993828,6.577861358,6.633318433,0.693147181,2.833213344,3.218875825,3.218875825,3.218875825,3.610917913,1.609437912,3.218875825
0,5,0,0,0,1,1,3,6,1,8,2968,590,631,2,74,161.25,15,15,19,11,5.201612903,7.995643604,6.380122537,6.447305863,0.693147181,4.304065093,5.082955956,2.708050201,2.708050201,2.944438979,2.397895273,1.648968751
1,4,0,0,1,0,1,1,3,0,0,250,164,228,47,57,102,7,5,28,4,4.434782609,5.521460918,5.099866428,5.429345629,3.850147602,4.043051268,4.624972813,1.945910149,1.609437912,3.33220451,1.386294361,1.489478597
1,3,0,1,0,0,1,1,5,1,5,573,315,367,15,70,145,15,10,37,2,9.0625,6.350885717,5.752572639,5.905361848,2.708050201,4.248495242,4.976733742,2.708050201,2.302585093,3.610917913,0.693147181,2.20414502
1,4,0,0,1,0,0,1,3,0,5,622,339,377,13,87,241,17,15,23,5,13.38888889,6.432940093,5.826000107,5.932245187,2.564949357,4.465908119,5.484796933,2.833213344,2.708050201,3.135494216,1.609437912,2.594425176
0,5,0,0,0,1,1,1,2,1,0,913,239,288,36,69,304,50,50,37,4,25.33333333,6.816735881,5.476463552,5.66296048,3.583518938,4.234106505,5.717027701,3.912023005,3.912023005,3.610917913,1.386294361,3.232121052
0,5,0,0,0,1,1,1,4,1,8,2810,477,541,12,29,34,6,6,31,1,4.857142857,7.940939762,6.167516491,6.293419279,2.48490665,3.36729583,3.526360525,1.791759469,1.791759469,3.433987204,0,1.580450376
1,5,0,0,0,1,1,1,4,1,8,3850,583,667,3,33,50,16,16,31,10,12.5,8.255828427,6.368187186,6.502790046,1.098612289,3.496507561,3.912023005,2.772588722,2.772588722,3.433987204,2.302585093,2.525728644
0,4,0,0,1,0,1,1,4,0,8,921,493,527,0,77,214,15,11,29,7,8.230769231,6.825460036,6.200509174,6.267200549,,4.343805422,5.365976015,2.708050201,2.397895273,3.36729583,1.945910149,2.107879477
0,5,0,0,0,1,0,1,5,0,8,1007,330,366,15,18,25,25,25,37,5,25,6.914730893,5.799092654,5.902633333,2.708050201,2.890371758,3.218875825,3.218875825,3.218875825,3.610917913,1.609437912,3.218875825
0,5,0,0,0,1,1,1,5,1,8,921,386,385,7,37,70,20,20,31,9,10,6.825460036,5.955837369,5.953243334,1.945910149,3.610917913,4.248495242,2.995732274,2.995732274,3.433987204,2.197224577,2.302585093
0,5,0,0,0,1,1,2,2,1,6,1541,488,497,13,69,140,13,6,30,5,7,7.340186835,6.190315406,6.208590026,2.564949357,4.234106505,4.941642423,2.564949357,1.791759469,3.401197382,1.609437912,1.945910149
1,5,0,0,0,1,1,1,4,1,9,1523,374,376,9,72,94,10,10,31,11,6.266666667,7.328437353,5.924255797,5.929589143,2.197224577,4.276666119,4.543294782,2.302585093,2.302585093,3.433987204,2.397895273,1.835244581
0,5,0,0,0,1,1,1,3,0,8,422,250,320,20,24,44,12,12,29,3,11,6.045005314,5.521460918,5.768320996,2.995732274,3.17805383,3.784189634,2.48490665,2.48490665,3.36729583,1.098612289,2.397895273
1,4,0,0,1,0,1,1,4,0,8,437,313,363,10,15,20,20,20,37,5,20,6.079933195,5.746203191,5.894402834,2.302585093,2.708050201,2.995732274,2.995732274,2.995732274,3.610917913,1.609437912,2.995732274
0,3,0,1,0,0,0,1,1,1,4,383,296,336,16,32,36,16,16,36,14,12,5.948034989,5.690359454,5.81711116,2.772588722,3.465735903,3.583518938,2.772588722,2.772588722,3.583518938,2.63905733,2.48490665
0,5,0,0,0,1,0,1,2,1,1,761,236,285,25,79,205,10,5,28,14,5,6.634633358,5.463831805,5.65248918,3.218875825,4.369447852,5.323009979,2.302585093,1.609437912,3.33220451,2.63905733,1.609437912
0,4,0,0,1,0,1,1,7,1,8,3984,1500,1125,10,35,101,24,21,36,4,20.2,8.290041619,7.313220387,7.025538315,2.302585093,3.555348061,4.615120517,3.17805383,3.044522438,3.583518938,1.386294361,3.005682604
1,3,0,1,0,0,0,1,3,0,2,674,259,327,19,36,50,12,12,30,7,8.333333333,6.513230111,5.556828062,5.789960171,2.944438979,3.583518938,3.912023005,2.48490665,2.48490665,3.401197382,1.945910149,2.120263536
0,5,0,0,0,1,1,1,3,0,6,2441,474,512,12,33,48,12,11,35,15,9.6,7.80016307,6.161207322,6.238324625,2.48490665,3.496507561,3.871201011,2.48490665,2.397895273,3.555348061,2.708050201,2.261763098
1,2,1,0,0,0,0,1,1,1,3,497,267,325,18,66,119,10,6,29,4,5.666666667,6.208590026,5.587248658,5.783825182,2.890371758,4.189654742,4.779123493,2.302585093,1.791759469,3.36729583,1.386294361,1.734601055
1,2,1,0,0,0,1,1,6,0,8,1311,363,410,19,15,20,20,20,37,5,20,7.178545484,5.894402834,6.01615716,2.944438979,2.708050201,2.995732274,2.995732274,2.995732274,3.610917913,1.609437912,2.995732274
0,4,0,0,1,0,1,1,4,1,9,2130,724,791,7,73,189,25,20,36,2,15.75,7.663877259,6.584791392,6.673297968,1.945910149,4.290459441,5.241747015,3.218875825,2.995732274,3.583518938,0.693147181,2.756840365
0,2,1,0,0,0,1,1,5,1,8,1011,441,483,6,29,36,7,7,33,4,6,6.918695219,6.089044875,6.180016654,1.791759469,3.36729583,3.583518938,1.945910149,1.945910149,3.496507561,1.386294361,1.791759469
0,4,0,0,1,0,1,1,4,1,8,702,457,510,2,105,183,15,5,17,1,7.625,6.553933404,6.124683391,6.234410726,0.693147181,4.65396035,5.209486153,2.708050201,1.609437912,2.833213344,0,2.031432322
1,5,0,0,0,1,1,1,4,1,8,824,290,375,11,49,41,5,5,30,3,3.727272727,6.71417053,5.669880923,5.926926026,2.397895273,3.891820298,3.713572067,1.609437912,1.609437912,3.401197382,1.098612289,1.315676794
0,2,1,0,0,0,1,1,4,0,8,2088,560,635,6,17,42,22,22,29,7,21,7.643961949,6.327936784,6.453624999,1.791759469,2.833213344,3.737669618,3.091042453,3.091042453,3.36729583,1.945910149,3.044522438
1,2,1,0,0,0,1,1,6,0,5,1430,336,457,19,58,74,10,6,34,8,6.166666667,7.265429723,5.81711116,6.124683391,2.944438979,4.060443011,4.304065093,2.302585093,1.791759469,3.526360525,2.079441542,1.819158443
0,5,0,0,0,1,0,1,2,1,8,2809,657,718,1,21,36,10,8,28,1,7.2,7.940583827,6.487684018,6.576469569,0,3.044522438,3.583518938,2.302585093,2.079441542,3.33220451,0,1.974081026
0,3,0,1,0,0,0,1,2,0,8,610,360,393,14,64,83,15,10,32,22,9.222222222,6.413458957,5.886104031,5.973809612,2.63905733,4.158883083,4.418840608,2.708050201,2.302585093,3.465735903,3.091042453,2.22161603
0,2,1,0,0,0,1,1,4,1,8,409,244,285,25,43,90,25,25,26,4,22.5,6.013715156,5.497168225,5.65248918,3.218875825,3.761200116,4.49980967,3.218875825,3.218875825,3.258096538,1.386294361,3.113515309
1,3,0,1,0,0,1,1,4,1,4,718,308,332,21,68,159,5,5,30,5,3.613636364,6.576469569,5.730099783,5.805134969,3.044522438,4.219507705,5.068904202,1.609437912,1.609437912,3.401197382,1.609437912,1.284714568
1,5,0,0,0,1,1,1,4,0,1,1348,361,454,14,98,214.5,15,10,19,3,6.919354839,7.206377291,5.888877958,6.118097198,2.63905733,4.584967479,5.368309738,2.708050201,2.302585093,2.944438979,1.098612289,1.934322534
0,5,0,0,0,1,1,1,4,1,0,414,190,197,40,76,383,15,13,29,7,10.07894737,6.025865974,5.247024072,5.283203729,3.688879454,4.33073334,5.948034989,2.708050201,2.564949357,3.36729583,1.945910149,2.310448829
0,2,1,0,0,0,0,1,2,0,5,379,238,250,25,77,137,10,5,29,3,4.151515152,5.937536205,5.472270674,5.521460918,3.218875825,4.343805422,4.919980926,2.302585093,1.609437912,3.36729583,1.098612289,1.423473364
1,5,0,0,0,1,1,1,4,1,8,1030,291,307,25,17,20,20,20,36,5,20,6.937314081,5.673323267,5.726847748,3.218875825,2.833213344,2.995732274,2.995732274,2.995732274,3.583518938,1.609437912,2.995732274
0,3,0,1,0,0,1,1,4,0,8,721,423,486,6,33,70,6,6,29,3,5,6.580639137,6.047372179,6.186208624,1.791759469,3.496507561,4.248495242,1.791759469,1.791759469,3.36729583,1.098612289,1.609437912
1,5,0,0,0,1,1,1,4,1,4,2835,545,570,5,64,89,12,12,34,1,6.846153846,7.949797216,6.300785795,6.345636361,1.609437912,4.158883083,4.48863637,2.48490665,2.48490665,3.526360525,0,1.923687012
0,5,0,0,0,1,1,1,4,0,9,3014,530,640,2,69,71,5,4,30,18,3.380952381,8.011023379,6.272877007,6.461468176,0.693147181,4.234106505,4.262679877,1.609437912,1.386294361,3.401197382,2.890371758,1.218157439
1,3,0,1,0,0,1,1,5,1,9,1174,582,619,3,64,81,7,7,28,5,3.857142857,7.068172,6.366470448,6.428105273,1.098612289,4.158883083,4.394449155,1.945910149,1.945910149,3.33220451,1.609437912,1.349926717
0,5,0,0,0,1,1,1,4,0,6,2080,525,533,4,58,122,12,8,28,8,7.176470588,7.640123173,6.263398263,6.278521424,1.386294361,4.060443011,4.804021045,2.48490665,2.079441542,3.33220451,2.079441542,1.970807701
1,2,1,0,0,0,1,1,5,0,8,877,454,482,5,16,20,20,20,37,5,20,6.776506992,6.118097198,6.177944114,1.609437912,2.772588722,2.995732274,2.995732274,2.995732274,3.610917913,1.609437912,2.995732274
0,3,0,1,0,0,1,1,4,0,1,321,232,267,27,42,64,15,15,37,8,9.142857143,5.771441123,5.446737372,5.587248658,3.295836866,3.737669618,4.158883083,2.708050201,2.708050201,3.610917913,2.079441542,2.212972934
1,4,0,0,1,0,1,1,4,1,3,878,415,430,10,58,85,7,5,31,2,4.473684211,6.777646594,6.02827852,6.063785209,2.302585093,4.060443011,4.442651256,1.945910149,1.609437912,3.433987204,0.693147181,1.498212277
0,3,0,1,0,0,1,1,1,0,8,654,363,393,9,71,124.5,15,15,30,4,6.552631579,6.483107351,5.894402834,5.973809612,2.197224577,4.262679877,4.824305716,2.708050201,2.708050201,3.401197382,1.386294361,1.879866737
0,3,0,1,0,0,1,1,5,0,8,823,462,536,0,23,30,20,20,37,5,15,6.712956201,6.135564891,6.284134161,,3.135494216,3.401197382,2.995732274,2.995732274,3.610917913,1.609437912,2.708050201
1,2,1,0,0,0,0,2,3,1,8,841,464,498,4,29,64,10,7,29,1,8,6.73459166,6.139884552,6.210600077,1.386294361,3.36729583,4.158883083,2.302585093,1.945910149,3.36729583,0,2.079441542
0,5,0,0,0,1,1,2,7,1,8,1198,556,590,6,60,101,10,10,34,6,6.3125,7.088408779,6.320768294,6.380122537,1.791759469,4.094344562,4.615120517,2.302585093,2.302585093,3.526360525,1.791759469,1.842531795
0,5,0,0,0,1,0,1,6,1,8,594,400,411,10,108,321,20,20,28,3,13.95652174,6.386879319,5.991464547,6.018593214,2.302585093,4.682131227,5.771441123,2.995732274,2.995732274,3.33220451,1.098612289,2.635946907
0,3,0,1,0,0,0,1,1,1,8,1147,439,529,15,95,128,10,10,30,6,6.736842105,7.044905117,6.084499413,6.270988432,2.708050201,4.553876892,4.852030264,2.302585093,2.302585093,3.401197382,1.791759469,1.907591285
1,5,0,0,0,1,0,1,3,1,8,2492,358,377,6,62,104,25,10,17,10,11.55555556,7.82084088,5.880532986,5.932245187,1.791759469,4.127134385,4.644390899,3.218875825,2.302585093,2.833213344,2.302585093,2.447166322
1,4,0,0,1,0,1,1,2,1,9,976,578,563,6,70,189,25,22,37,5,17.18181818,6.883462586,6.359573869,6.333279628,1.791759469,4.248495242,5.241747015,3.218875825,3.091042453,3.610917913,1.609437912,2.843851742
1,5,0,0,0,1,1,1,7,0,8,938,492,536,10,20,25,20,20,31,6,12.5,6.843749949,6.198478716,6.284134161,2.302585093,2.995732274,3.218875825,2.995732274,2.995732274,3.433987204,1.791759469,2.525728644
0,5,0,0,0,1,0,1,1,1,0,643,298,376,20,76,112,20,10,36,3,11.2,6.466144724,5.697093487,5.929589143,2.995732274,4.33073334,4.718498871,2.995732274,2.302585093,3.583518938,1.098612289,2.415913778
